HOSTNAME,JOIN,PHASE,PARTITION_COUNT,RUN_ID,RUNTIME_MS
nx05,HashJoin,"2 - HashTableFinalization",64,4,12778
nx05,HashJoin,"3 - ProbeSidePartitioning",64,4,1535
nx05,HashJoin,"4 - Joining",64,4,2073
nx05,HashJoin,"1 - HashTableBuild",64,5,4456
nx05,HashJoin,"2 - HashTableFinalization",64,5,12760
nx05,HashJoin,"3 - ProbeSidePartitioning",64,5,1535
nx05,HashJoin,"4 - Joining",64,5,2107
nx05,HashJoin,"1 - HashTableBuild",64,6,4453
nx05,HashJoin,"2 - HashTableFinalization",64,6,12778
nx05,HashJoin,"3 - ProbeSidePartitioning",64,6,1536
nx05,HashJoin,"4 - Joining",64,6,2056
nx05,HashJoin,"1 - HashTableBuild",64,7,4475
nx05,HashJoin,"2 - HashTableFinalization",64,7,12775
nx05,HashJoin,"3 - ProbeSidePartitioning",64,7,1537
nx05,HashJoin,"4 - Joining",64,7,2133
nx05,HashJoin,"1 - HashTableBuild",64,8,4458
nx05,HashJoin,"2 - HashTableFinalization",64,8,12778
nx05,HashJoin,"3 - ProbeSidePartitioning",64,8,1536
nx05,HashJoin,"4 - Joining",64,8,2084
nx05,HashJoin,"1 - HashTableBuild",64,9,4466
nx05,HashJoin,"2 - HashTableFinalization",64,9,12780
nx05,HashJoin,"3 - ProbeSidePartitioning",64,9,1536
nx05,HashJoin,"4 - Joining",64,9,2165
nx05,HashJoin,"1 - HashTableBuild",128,0,4453
nx05,HashJoin,"2 - HashTableFinalization",128,0,12573
nx05,HashJoin,"3 - ProbeSidePartitioning",128,0,1550
nx05,HashJoin,"4 - Joining",128,0,1635
nx05,HashJoin,"1 - HashTableBuild",128,1,4447
nx05,HashJoin,"2 - HashTableFinalization",128,1,12556
nx05,HashJoin,"3 - ProbeSidePartitioning",128,1,1550
nx05,HashJoin,"4 - Joining",128,1,1662
nx05,HashJoin,"1 - HashTableBuild",128,2,4462
nx05,HashJoin,"2 - HashTableFinalization",128,2,12568
nx05,HashJoin,"3 - ProbeSidePartitioning",128,2,1551
nx05,HashJoin,"4 - Joining",128,2,1646
nx05,HashJoin,"1 - HashTableBuild",128,3,4464
nx05,HashJoin,"2 - HashTableFinalization",128,3,12576
nx05,HashJoin,"3 - ProbeSidePartitioning",128,3,1551
nx05,HashJoin,"4 - Joining",128,3,1672
nx05,HashJoin,"1 - HashTableBuild",128,4,4457
nx05,HashJoin,"2 - HashTableFinalization",128,4,12557
nx05,HashJoin,"3 - ProbeSidePartitioning",128,4,1551
nx05,HashJoin,"4 - Joining",128,4,1632
nx05,HashJoin,"1 - HashTableBuild",128,5,4463
nx05,HashJoin,"2 - HashTableFinalization",128,5,12580
nx05,HashJoin,"3 - ProbeSidePartitioning",128,5,1551
nx05,HashJoin,"4 - Joining",128,5,1649
nx05,HashJoin,"1 - HashTableBuild",128,6,4456
nx05,HashJoin,"2 - HashTableFinalization",128,6,12528
nx05,HashJoin,"3 - ProbeSidePartitioning",128,6,1550
nx05,HashJoin,"4 - Joining",128,6,1646
nx05,HashJoin,"1 - HashTableBuild",128,7,4460
nx05,HashJoin,"2 - HashTableFinalization",128,7,12552
