HOSTNAME,JOIN,PHASE,PARTITION_COUNT,RUN_ID,RUNTIME_MS
cx05,HashJoin,"1 - HashTableBuild",128,1,4174
cx05,HashJoin,"2 - HashTableFinalization",128,1,11893
cx05,HashJoin,"3 - ProbeSidePartitioning",128,1,1776
cx05,HashJoin,"4 - Joining",128,1,2591
cx05,HashJoin,"1 - HashTableBuild",128,2,4082
cx05,HashJoin,"2 - HashTableFinalization",128,2,11953
cx05,HashJoin,"3 - ProbeSidePartitioning",128,2,1776
cx05,HashJoin,"4 - Joining",128,2,2586
cx05,HashJoin,"1 - HashTableBuild",128,3,4150
cx05,HashJoin,"2 - HashTableFinalization",128,3,11972
cx05,HashJoin,"3 - ProbeSidePartitioning",128,3,1778
cx05,HashJoin,"4 - Joining",128,3,2618
cx05,HashJoin,"1 - HashTableBuild",128,4,4236
cx05,HashJoin,"2 - HashTableFinalization",128,4,11776
cx05,HashJoin,"3 - ProbeSidePartitioning",128,4,2030
cx05,HashJoin,"4 - Joining",128,4,2586
cx05,HashJoin,"1 - HashTableBuild",128,5,4262
cx05,HashJoin,"2 - HashTableFinalization",128,5,11692
cx05,HashJoin,"3 - ProbeSidePartitioning",128,5,1778
cx05,HashJoin,"4 - Joining",128,5,2599
cx05,HashJoin,"1 - HashTableBuild",128,6,4276
cx05,HashJoin,"2 - HashTableFinalization",128,6,11731
cx05,HashJoin,"3 - ProbeSidePartitioning",128,6,1777
cx05,HashJoin,"4 - Joining",128,6,2686
cx05,HashJoin,"1 - HashTableBuild",128,7,4227
cx05,HashJoin,"2 - HashTableFinalization",128,7,11740
cx05,HashJoin,"3 - ProbeSidePartitioning",128,7,1787
cx05,HashJoin,"4 - Joining",128,7,2583
cx05,HashJoin,"1 - HashTableBuild",128,8,4183
cx05,HashJoin,"2 - HashTableFinalization",128,8,11776
cx05,HashJoin,"3 - ProbeSidePartitioning",128,8,1778
cx05,HashJoin,"4 - Joining",128,8,2602
cx05,HashJoin,"1 - HashTableBuild",128,9,4188
cx05,HashJoin,"2 - HashTableFinalization",128,9,11737
cx05,HashJoin,"3 - ProbeSidePartitioning",128,9,1778
cx05,HashJoin,"4 - Joining",128,9,2630
cx05,HashJoin,"1 - HashTableBuild",256,0,4158
cx05,HashJoin,"2 - HashTableFinalization",256,0,12055
cx05,HashJoin,"3 - ProbeSidePartitioning",256,0,1865
cx05,HashJoin,"4 - Joining",256,0,2114
cx05,HashJoin,"1 - HashTableBuild",256,1,4174
cx05,HashJoin,"2 - HashTableFinalization",256,1,11941
cx05,HashJoin,"3 - ProbeSidePartitioning",256,1,1864
cx05,HashJoin,"4 - Joining",256,1,2121
cx05,HashJoin,"1 - HashTableBuild",256,2,4193
cx05,HashJoin,"2 - HashTableFinalization",256,2,11929
cx05,HashJoin,"3 - ProbeSidePartitioning",256,2,1907
cx05,HashJoin,"4 - Joining",256,2,2101
cx05,HashJoin,"1 - HashTableBuild",256,3,4305
cx05,HashJoin,"2 - HashTableFinalization",256,3,11886
cx05,HashJoin,"3 - ProbeSidePartitioning",256,3,1883
cx05,HashJoin,"4 - Joining",256,3,2093
cx05,HashJoin,"1 - HashTableBuild",256,4,4198
cx05,HashJoin,"2 - HashTableFinalization",256,4,11993
cx05,HashJoin,"3 - ProbeSidePartitioning",256,4,1866
cx05,HashJoin,"4 - Joining",256,4,2104
cx05,HashJoin,"1 - HashTableBuild",256,5,4175
cx05,HashJoin,"2 - HashTableFinalization",256,5,11953
cx05,HashJoin,"3 - ProbeSidePartitioning",256,5,1867
cx05,HashJoin,"4 - Joining",256,5,2111
cx05,HashJoin,"1 - HashTableBuild",256,6,4246
cx05,HashJoin,"2 - HashTableFinalization",256,6,11906
cx05,HashJoin,"3 - ProbeSidePartitioning",256,6,1866
cx05,HashJoin,"4 - Joining",256,6,2110
cx05,HashJoin,"1 - HashTableBuild",256,7,4220
cx05,HashJoin,"2 - HashTableFinalization",256,7,11966
cx05,HashJoin,"3 - ProbeSidePartitioning",256,7,1866
cx05,HashJoin,"4 - Joining",256,7,2100
cx05,HashJoin,"1 - HashTableBuild",256,8,4262
cx05,HashJoin,"2 - HashTableFinalization",256,8,11829
cx05,HashJoin,"3 - ProbeSidePartitioning",256,8,1882
cx05,HashJoin,"4 - Joining",256,8,2089
cx05,HashJoin,"1 - HashTableBuild",256,9,4235
cx05,HashJoin,"2 - HashTableFinalization",256,9,11971
cx05,HashJoin,"3 - ProbeSidePartitioning",256,9,1890
cx05,HashJoin,"4 - Joining",256,9,2107
cx05,HashJoin,"1 - HashTableBuild",512,0,4211
cx05,HashJoin,"2 - HashTableFinalization",512,0,12312
cx05,HashJoin,"3 - ProbeSidePartitioning",512,0,1991
cx05,HashJoin,"4 - Joining",512,0,1772
cx05,HashJoin,"1 - HashTableBuild",512,1,4191
cx05,HashJoin,"2 - HashTableFinalization",512,1,12268
cx05,HashJoin,"3 - ProbeSidePartitioning",512,1,2005
cx05,HashJoin,"4 - Joining",512,1,1701
cx05,HashJoin,"1 - HashTableBuild",512,2,4198
cx05,HashJoin,"2 - HashTableFinalization",512,2,12287
cx05,HashJoin,"3 - ProbeSidePartitioning",512,2,2000
cx05,HashJoin,"4 - Joining",512,2,1755
cx05,HashJoin,"1 - HashTableBuild",512,3,4178
cx05,HashJoin,"2 - HashTableFinalization",512,3,12355
cx05,HashJoin,"3 - ProbeSidePartitioning",512,3,2003
cx05,HashJoin,"4 - Joining",512,3,1751
cx05,HashJoin,"1 - HashTableBuild",512,4,4204
cx05,HashJoin,"2 - HashTableFinalization",512,4,12302
cx05,HashJoin,"3 - ProbeSidePartitioning",512,4,2004
cx05,HashJoin,"4 - Joining",512,4,1750
cx05,HashJoin,"1 - HashTableBuild",512,5,4176
cx05,HashJoin,"2 - HashTableFinalization",512,5,12367
cx05,HashJoin,"3 - ProbeSidePartitioning",512,5,1996
cx05,HashJoin,"4 - Joining",512,5,1704
cx05,HashJoin,"1 - HashTableBuild",512,6,4226
cx05,HashJoin,"2 - HashTableFinalization",512,6,12281
cx05,HashJoin,"3 - ProbeSidePartitioning",512,6,1995
cx05,HashJoin,"4 - Joining",512,6,1749
cx05,HashJoin,"1 - HashTableBuild",512,7,4212
cx05,HashJoin,"2 - HashTableFinalization",512,7,12317
cx05,HashJoin,"3 - ProbeSidePartitioning",512,7,2060
cx05,HashJoin,"4 - Joining",512,7,1748
cx05,HashJoin,"1 - HashTableBuild",512,8,4255
cx05,HashJoin,"2 - HashTableFinalization",512,8,12256
cx05,HashJoin,"3 - ProbeSidePartitioning",512,8,1999
cx05,HashJoin,"4 - Joining",512,8,1725
cx05,HashJoin,"1 - HashTableBuild",512,9,4260
cx05,HashJoin,"2 - HashTableFinalization",512,9,12203
cx05,HashJoin,"3 - ProbeSidePartitioning",512,9,2003
cx05,HashJoin,"4 - Joining",512,9,1751
cx05,HashJoin,"1 - HashTableBuild",1024,0,4222
cx05,HashJoin,"2 - HashTableFinalization",1024,0,12697
cx05,HashJoin,"3 - ProbeSidePartitioning",1024,0,2218
cx05,HashJoin,"4 - Joining",1024,0,1635
cx05,HashJoin,"1 - HashTableBuild",1024,1,4259
cx05,HashJoin,"2 - HashTableFinalization",1024,1,12671
cx05,HashJoin,"3 - ProbeSidePartitioning",1024,1,2217
cx05,HashJoin,"4 - Joining",1024,1,1634
cx05,HashJoin,"1 - HashTableBuild",1024,2,4212
cx05,HashJoin,"2 - HashTableFinalization",1024,2,12724
cx05,HashJoin,"3 - ProbeSidePartitioning",1024,2,2229
cx05,HashJoin,"4 - Joining",1024,2,1633
cx05,HashJoin,"1 - HashTableBuild",1024,3,4289
cx05,HashJoin,"2 - HashTableFinalization",1024,3,12686
cx05,HashJoin,"3 - ProbeSidePartitioning",1024,3,2255
cx05,HashJoin,"4 - Joining",1024,3,1648
cx05,HashJoin,"1 - HashTableBuild",1024,4,4215
cx05,HashJoin,"2 - HashTableFinalization",1024,4,12740
cx05,HashJoin,"3 - ProbeSidePartitioning",1024,4,2225
cx05,HashJoin,"4 - Joining",1024,4,1644
cx05,HashJoin,"1 - HashTableBuild",1024,5,4231
cx05,HashJoin,"2 - HashTableFinalization",1024,5,12671
cx05,HashJoin,"3 - ProbeSidePartitioning",1024,5,2237
cx05,HashJoin,"4 - Joining",1024,5,1637
cx05,HashJoin,"1 - HashTableBuild",1024,6,4219
cx05,HashJoin,"2 - HashTableFinalization",1024,6,12737
cx05,HashJoin,"3 - ProbeSidePartitioning",1024,6,2223
cx05,HashJoin,"4 - Joining",1024,6,1638
cx05,HashJoin,"1 - HashTableBuild",1024,7,4241
cx05,HashJoin,"2 - HashTableFinalization",1024,7,12729
cx05,HashJoin,"3 - ProbeSidePartitioning",1024,7,2219
cx05,HashJoin,"4 - Joining",1024,7,1639
cx05,HashJoin,"1 - HashTableBuild",1024,8,4242
cx05,HashJoin,"2 - HashTableFinalization",1024,8,12661
cx05,HashJoin,"3 - ProbeSidePartitioning",1024,8,2221
cx05,HashJoin,"4 - Joining",1024,8,1633
cx05,HashJoin,"1 - HashTableBuild",1024,9,4189
cx05,HashJoin,"2 - HashTableFinalization",1024,9,12748
cx05,HashJoin,"3 - ProbeSidePartitioning",1024,9,2224
cx05,HashJoin,"4 - Joining",1024,9,1639
cx05,HashJoin,"1 - HashTableBuild",2048,0,4252
cx05,HashJoin,"2 - HashTableFinalization",2048,0,13034
cx05,HashJoin,"3 - ProbeSidePartitioning",2048,0,2718
cx05,HashJoin,"4 - Joining",2048,0,1610
cx05,HashJoin,"1 - HashTableBuild",2048,1,4182
cx05,HashJoin,"2 - HashTableFinalization",2048,1,13079
cx05,HashJoin,"3 - ProbeSidePartitioning",2048,1,2722
cx05,HashJoin,"4 - Joining",2048,1,1614
cx05,HashJoin,"1 - HashTableBuild",2048,2,4192
cx05,HashJoin,"2 - HashTableFinalization",2048,2,13046
cx05,HashJoin,"3 - ProbeSidePartitioning",2048,2,2716
cx05,HashJoin,"4 - Joining",2048,2,1594
cx05,HashJoin,"1 - HashTableBuild",2048,3,4216
cx05,HashJoin,"2 - HashTableFinalization",2048,3,13053
